"","original","text"
"132","My sister FINALLY watched #TheGreatestShowman and is listening to the music. Goosebumps every time I hear #NeverEnough Can’t help it <f0><U+009F><U+00A4><U+00B7><f0><U+009F><U+008F><U+00BD><U+200D><U+2640><U+FE0F>","sister finally watched is listening music goosebumps time hear cant help f"
"133","The time has come to announce our picks for #MoviesUndertheStars<U+2728>

July:
5 –Nelson Pk #TheLEGOMovie
12 –LaSalle Pk #ThePrincessBride
19 –Central Pk #TheGreatestShowman
26 –Orchard Pk #TheIncredibles

Aug:
2 –Lowville Pk #ToyStory3
9 –Ireland Pk #Moana
16 –@SpencerSmithPk #Coco https://t.co/Ban8FrNl7a","time has come announce picks sparkles july nelson pk lasalle pk central pk orchard pk aug lowville pk ireland pk"
"134","The noblest art is that of making others happy. - P.T. Barnum

#TheGreatestShowman <f0><U+009F><U+0091><U+008F>","noblest art is making others happy t barnum clapping hands sign"
"135","Driving 15miles to show someone my DBS is such a pain.

On the bright side, I get to have a singalong to The Greatest Showman Soundtrack. #TheGreatestShowman #greatestshowman #hughjackman","driving miles show someone dbs is such pain bright side get have singalong greatest showman soundtrack"
"136","#TheGreatestShowman is a fun filled musical for all the family and definitely not to be missed by anyone. @HughJackman03 #musicals","is fun filled musical family be missed anyone"
"137","I feel like this is now the soundtrack of my life right now <f0><U+009F><U+0091><U+00AF><U+200D><U+2640><U+FE0F><f0><U+009F><U+0091><U+00AF><U+200D><U+2640><U+FE0F>  #thegreatestshowman 
https://t.co/vE2ykAI2TS https://t.co/9XOxDE5WZ1","feel is now soundtrack life right nowef fef f"
"138","Watched #TheGreatestShowman for the first time at the weekend. This song really resonated with me! So uplifting and inspiring. #ThisIsMe 

https://t.co/El646v3Lom https://t.co/mmKTVqa8EK","watched first time weekend song really resonated so uplifting inspiring"
"140","It's impossible not to watch #TheGreatestShowman when it's on. I'm in awe by @RealHughJackman every time! That's some serious talent! Singer, dancer, actor, wolverine! Quadruple threat!","is impossible not watch when is on am awe time is serious talent singer dancer actor wolverine quadruple threat"
"141","Currently having a major @RealHughJackman @ZacEfron ear-worm episode. Yes, I do want to get away, but I really can't leave the reference desk! #TheGreatestShowman #TheOtherSide #librarylife","currently having major ear worm episode yes do want get away not leave reference desk"
"142","Every night I lie in bed
The brightest colors fill my head 
A million dreams are keeping me awake
#TheGreatestShowman","night lie bed brightest colors fill head dreams are keeping awake"
"143","2 loads of laundry, loaded dishwasher, healthy omelet, 75 kettlebell swings, 3 email sequence for a new course, tweaked said course in @clickfunnels, read 2 chapters in Side Hustle by @chrisguillebeau, &amp; listened to #TheGreatestShowman soundtrack. #remotework #amwriting, you?","loads laundry loaded dishwasher healthy omelet kettlebell swings email sequence new course tweaked said course read chapters side hustle listened soundtrack"
