"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"200","CURRENCY EXCHANGE ","💱","F0 9F 92 B1","<ed><a0><bd><ed><b2><b1>","f0 9f 92 b1","f0 9f 92 b1"
"201","CURRY AND RICE ","🍛","F0 9F 8D 9B","<ed><a0><bc><ed><bd><9b>","f0 9f 8d 9b","f0 9f 8d 9b"
"202","CUSTARD ","🍮","F0 9F 8D AE","<ed><a0><bc><ed><bd><ae>","f0 9f 8d ae","f0 9f 8d ae"
"203","CUSTOMS ","🛃","F0 9F 9B 83","<ed><a0><bd><ed><bb><83>","f0 9f 9b 83","f0 9f 9b 83"
"204","CYCLONE ","🌀","F0 9F 8C 80","<ed><a0><bc><ed><bc><80>","f0 9f 8c 80","f0 9f 8c 80"
"205","DANCER ","💃","F0 9F 92 83","<ed><a0><bd><ed><b2><83>","f0 9f 92 83","f0 9f 92 83"
"206","DANGO ","🍡","F0 9F 8D A1","<ed><a0><bc><ed><bd><a1>","f0 9f 8d a1","f0 9f 8d a1"
"207","DASH SYMBOL ","💨","F0 9F 92 A8","<ed><a0><bd><ed><b2><a8>","f0 9f 92 a8","f0 9f 92 a8"
"208","DECIDUOUS TREE ","🌳","F0 9F 8C B3","<ed><a0><bc><ed><bc><b3>","f0 9f 8c b3","f0 9f 8c b3"
"209","DELIVERY TRUCK ","🚚","F0 9F 9A 9A","<ed><a0><bd><ed><ba><9a>","f0 9f 9a 9a","f0 9f 9a 9a"
"210","DEPARTMENT STORE ","🏬","F0 9F 8F AC","<ed><a0><bc><ed><bf><ac>","f0 9f 8f ac","f0 9f 8f ac"
"211","DIAMOND SHAPE WITH A DOT INSIDE ","💠","F0 9F 92 A0","<ed><a0><bd><ed><b2><a0>","f0 9f 92 a0","f0 9f 92 a0"
"212","DIGIT EIGHT + COMBINING ENCLOSING KEYCAP ","8⃣","38 E2 83 A3","8<e2><83><a3>","38 e2 83 a3","38 e2 83 a3"
"213","DIGIT FIVE + COMBINING ENCLOSING KEYCAP ","5⃣","35 E2 83 A3","5<e2><83><a3>","35 e2 83 a3","35 e2 83 a3"
"214","DIGIT FOUR + COMBINING ENCLOSING KEYCAP ","4⃣","34 E2 83 A3","4<e2><83><a3>","34 e2 83 a3","34 e2 83 a3"
"215","DIGIT NINE + COMBINING ENCLOSING KEYCAP ","9⃣","39 E2 83 A3","9<e2><83><a3>","39 e2 83 a3","39 e2 83 a3"
"216","DIGIT ONE + COMBINING ENCLOSING KEYCAP ","1⃣","31 E2 83 A3","1<e2><83><a3>","31 e2 83 a3","31 e2 83 a3"
"217","DIGIT SEVEN + COMBINING ENCLOSING KEYCAP ","7⃣","37 E2 83 A3","7<e2><83><a3>","37 e2 83 a3","37 e2 83 a3"
"218","DIGIT SIX + COMBINING ENCLOSING KEYCAP ","6⃣","36 E2 83 A3","6<e2><83><a3>","36 e2 83 a3","36 e2 83 a3"
"219","DIGIT THREE + COMBINING ENCLOSING KEYCAP ","3⃣","33 E2 83 A3","3<e2><83><a3>","33 e2 83 a3","33 e2 83 a3"
"220","DIGIT TWO + COMBINING ENCLOSING KEYCAP ","2⃣","32 E2 83 A3","2<e2><83><a3>","32 e2 83 a3","32 e2 83 a3"
"221","DIGIT ZERO + COMBINING ENCLOSING KEYCAP ","0⃣","30 E2 83 A3","0<e2><83><a3>","30 e2 83 a3","30 e2 83 a3"
"222","DIRECT HIT ","🎯","F0 9F 8E AF","<ed><a0><bc><ed><be><af>","f0 9f 8e af","f0 9f 8e af"
"223","DISAPPOINTED BUT RELIEVED FACE ","😥","F0 9F 98 A5","<ed><a0><bd><ed><b8><a5>","f0 9f 98 a5","f0 9f 98 a5"
"224","DISAPPOINTED FACE ","😞","F0 9F 98 9E","<ed><a0><bd><ed><b8><9e>","f0 9f 98 9e","f0 9f 98 9e"
"225","DIZZY FACE ","😵","F0 9F 98 B5","<ed><a0><bd><ed><b8><b5>","f0 9f 98 b5","f0 9f 98 b5"
"226","DIZZY SYMBOL ","💫","F0 9F 92 AB","<ed><a0><bd><ed><b2><ab>","f0 9f 92 ab","f0 9f 92 ab"
"227","DO NOT LITTER SYMBOL ","🚯","F0 9F 9A AF","<ed><a0><bd><ed><ba><af>","f0 9f 9a af","f0 9f 9a af"
"228","DOG ","🐕","F0 9F 90 95","<ed><a0><bd><ed><b0><95>","f0 9f 90 95","f0 9f 90 95"
"229","DOG FACE ","🐶","F0 9F 90 B6","<ed><a0><bd><ed><b0><b6>","f0 9f 90 b6","f0 9f 90 b6"
"230","DOLPHIN ","🐬","F0 9F 90 AC","<ed><a0><bd><ed><b0><ac>","f0 9f 90 ac","f0 9f 90 ac"
"231","DOOR ","🚪","F0 9F 9A AA","<ed><a0><bd><ed><ba><aa>","f0 9f 9a aa","f0 9f 9a aa"
"232","DOUBLE EXCLAMATION MARK ","‼","E2 80 BC","<e2><80><bc>","e2 80 bc","e2 80 bc"
"233","DOUGHNUT ","🍩","F0 9F 8D A9","<ed><a0><bc><ed><bd><a9>","f0 9f 8d a9","f0 9f 8d a9"
"234","DOWN-POINTING RED TRIANGLE ","🔻","F0 9F 94 BB","<ed><a0><bd><ed><b4><bb>","f0 9f 94 bb","f0 9f 94 bb"
"235","DOWN-POINTING SMALL RED TRIANGLE ","🔽","F0 9F 94 BD","<ed><a0><bd><ed><b4><bd>","f0 9f 94 bd","f0 9f 94 bd"
"236","DOWNWARDS BLACK ARROW ","⬇","E2 AC 87","<e2><ac><87>","e2 ac 87","e2 ac 87"
"237","DRAGON ","🐉","F0 9F 90 89","<ed><a0><bd><ed><b0><89>","f0 9f 90 89","f0 9f 90 89"
"238","DRAGON FACE ","🐲","F0 9F 90 B2","<ed><a0><bd><ed><b0><b2>","f0 9f 90 b2","f0 9f 90 b2"
"239","DRESS ","👗","F0 9F 91 97","<ed><a0><bd><ed><b1><97>","f0 9f 91 97","f0 9f 91 97"
"240","DROMEDARY CAMEL ","🐪","F0 9F 90 AA","<ed><a0><bd><ed><b0><aa>","f0 9f 90 aa","f0 9f 90 aa"
"241","DROPLET ","💧","F0 9F 92 A7","<ed><a0><bd><ed><b2><a7>","f0 9f 92 a7","f0 9f 92 a7"
"242","DVD ","📀","F0 9F 93 80","<ed><a0><bd><ed><b3><80>","f0 9f 93 80","f0 9f 93 80"
"243","E-MAIL SYMBOL ","📧","F0 9F 93 A7","<ed><a0><bd><ed><b3><a7>","f0 9f 93 a7","f0 9f 93 a7"
"244","EAR ","👂","F0 9F 91 82","<ed><a0><bd><ed><b1><82>","f0 9f 91 82","f0 9f 91 82"
"245","EAR OF MAIZE ","🌽","F0 9F 8C BD","<ed><a0><bc><ed><bc><bd>","f0 9f 8c bd","f0 9f 8c bd"
"246","EAR OF RICE ","🌾","F0 9F 8C BE","<ed><a0><bc><ed><bc><be>","f0 9f 8c be","f0 9f 8c be"
"247","EARTH GLOBE AMERICAS ","🌎","F0 9F 8C 8E","<ed><a0><bc><ed><bc><8e>","f0 9f 8c 8e","f0 9f 8c 8e"
"248","EARTH GLOBE ASIA-AUSTRALIA ","🌏","F0 9F 8C 8F","<ed><a0><bc><ed><bc><8f>","f0 9f 8c 8f","f0 9f 8c 8f"
"249","EARTH GLOBE EUROPE-AFRICA ","🌍","F0 9F 8C 8D","<ed><a0><bc><ed><bc><8d>","f0 9f 8c 8d","f0 9f 8c 8d"
"250","EIGHT POINTED BLACK STAR ","✴","E2 9C B4","<e2><9c><b4>","e2 9c b4","e2 9c b4"
"251","EIGHT SPOKED ASTERISK ","✳","E2 9C B3","<e2><9c><b3>","e2 9c b3","e2 9c b3"
"252","ELECTRIC LIGHT BULB ","💡","F0 9F 92 A1","<ed><a0><bd><ed><b2><a1>","f0 9f 92 a1","f0 9f 92 a1"
"253","ELECTRIC PLUG ","🔌","F0 9F 94 8C","<ed><a0><bd><ed><b4><8c>","f0 9f 94 8c","f0 9f 94 8c"
"254","ELECTRIC TORCH ","🔦","F0 9F 94 A6","<ed><a0><bd><ed><b4><a6>","f0 9f 94 a6","f0 9f 94 a6"
"255","ELEPHANT ","🐘","F0 9F 90 98","<ed><a0><bd><ed><b0><98>","f0 9f 90 98","f0 9f 90 98"
"256","END WITH LEFTWARDS ARROW ABOVE ","🔚","F0 9F 94 9A","<ed><a0><bd><ed><b4><9a>","f0 9f 94 9a","f0 9f 94 9a"
"257","ENVELOPE ","✉","E2 9C 89","<e2><9c><89>","e2 9c 89","e2 9c 89"
"258","ENVELOPE WITH DOWNWARDS ARROW ABOVE ","📩","F0 9F 93 A9","<ed><a0><bd><ed><b3><a9>","f0 9f 93 a9","f0 9f 93 a9"
"259","EUROPEAN CASTLE ","🏰","F0 9F 8F B0","<ed><a0><bc><ed><bf><b0>","f0 9f 8f b0","f0 9f 8f b0"
"260","EUROPEAN POST OFFICE ","🏤","F0 9F 8F A4","<ed><a0><bc><ed><bf><a4>","f0 9f 8f a4","f0 9f 8f a4"
"261","EVERGREEN TREE ","🌲","F0 9F 8C B2","<ed><a0><bc><ed><bc><b2>","f0 9f 8c b2","f0 9f 8c b2"
"262","EXCLAMATION QUESTION MARK ","⁉","E2 81 89","<e2><81><89>","e2 81 89","e2 81 89"
"263","EXPRESSIONLESS FACE ","😑","F0 9F 98 91","<ed><a0><bd><ed><b8><91>","f0 9f 98 91","f0 9f 98 91"
"264","EXTRATERRESTRIAL ALIEN ","👽","F0 9F 91 BD","<ed><a0><bd><ed><b1><bd>","f0 9f 91 bd","f0 9f 91 bd"
"265","EYEGLASSES ","👓","F0 9F 91 93","<ed><a0><bd><ed><b1><93>","f0 9f 91 93","f0 9f 91 93"
"266","EYES ","👀","F0 9F 91 80","<ed><a0><bd><ed><b1><80>","f0 9f 91 80","f0 9f 91 80"
"267","FACE MASSAGE ","💆","F0 9F 92 86","<ed><a0><bd><ed><b2><86>","f0 9f 92 86","f0 9f 92 86"
"268","FACE SAVOURING DELICIOUS FOOD ","😋","F0 9F 98 8B","<ed><a0><bd><ed><b8><8b>","f0 9f 98 8b","f0 9f 98 8b"
"269","FACE SCREAMING IN FEAR ","😱","F0 9F 98 B1","<ed><a0><bd><ed><b8><b1>","f0 9f 98 b1","f0 9f 98 b1"
"270","FACE THROWING A KISS ","😘","F0 9F 98 98","<ed><a0><bd><ed><b8><98>","f0 9f 98 98","f0 9f 98 98"
"271","FACE WITH COLD SWEAT ","😓","F0 9F 98 93","<ed><a0><bd><ed><b8><93>","f0 9f 98 93","f0 9f 98 93"
"272","FACE WITH LOOK OF TRIUMPH ","😤","F0 9F 98 A4","<ed><a0><bd><ed><b8><a4>","f0 9f 98 a4","f0 9f 98 a4"
"273","FACE WITH MEDICAL MASK ","😷","F0 9F 98 B7","<ed><a0><bd><ed><b8><b7>","f0 9f 98 b7","f0 9f 98 b7"
"274","FACE WITH NO GOOD GESTURE ","🙅","F0 9F 99 85","<ed><a0><bd><ed><b9><85>","f0 9f 99 85","f0 9f 99 85"
"275","FACE WITH OK GESTURE ","🙆","F0 9F 99 86","<ed><a0><bd><ed><b9><86>","f0 9f 99 86","f0 9f 99 86"
"276","FACE WITH OPEN MOUTH ","😮","F0 9F 98 AE","<ed><a0><bd><ed><b8><ae>","f0 9f 98 ae","f0 9f 98 ae"
"277","FACE WITH OPEN MOUTH AND COLD SWEAT ","😰","F0 9F 98 B0","<ed><a0><bd><ed><b8><b0>","f0 9f 98 b0","f0 9f 98 b0"
"278","FACE WITH STUCK-OUT TONGUE ","😛","F0 9F 98 9B","<ed><a0><bd><ed><b8><9b>","f0 9f 98 9b","f0 9f 98 9b"
"279","FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES ","😝","F0 9F 98 9D","<ed><a0><bd><ed><b8><9d>","f0 9f 98 9d","f0 9f 98 9d"
"280","FACE WITH STUCK-OUT TONGUE AND WINKING EYE ","😜","F0 9F 98 9C","<ed><a0><bd><ed><b8><9c>","f0 9f 98 9c","f0 9f 98 9c"
"281","FACE WITH TEARS OF JOY ","😂","F0 9F 98 82","<ed><a0><bd><ed><b8><82>","f0 9f 98 82","f0 9f 98 82"
"282","FACE WITHOUT MOUTH ","😶","F0 9F 98 B6","<ed><a0><bd><ed><b8><b6>","f0 9f 98 b6","f0 9f 98 b6"
"283","FACTORY ","🏭","F0 9F 8F AD","<ed><a0><bc><ed><bf><ad>","f0 9f 8f ad","f0 9f 8f ad"
"284","FALLEN LEAF ","🍂","F0 9F 8D 82","<ed><a0><bc><ed><bd><82>","f0 9f 8d 82","f0 9f 8d 82"
"285","FAMILY ","👪","F0 9F 91 AA","<ed><a0><bd><ed><b1><aa>","f0 9f 91 aa","f0 9f 91 aa"
"286","FATHER CHRISTMAS ","🎅","F0 9F 8E 85","<ed><a0><bc><ed><be><85>","f0 9f 8e 85","f0 9f 8e 85"
"287","FAX MACHINE ","📠","F0 9F 93 A0","<ed><a0><bd><ed><b3><a0>","f0 9f 93 a0","f0 9f 93 a0"
"288","FEARFUL FACE ","😨","F0 9F 98 A8","<ed><a0><bd><ed><b8><a8>","f0 9f 98 a8","f0 9f 98 a8"
"289","FERRIS WHEEL ","🎡","F0 9F 8E A1","<ed><a0><bc><ed><be><a1>","f0 9f 8e a1","f0 9f 8e a1"
"290","FILE FOLDER ","📁","F0 9F 93 81","<ed><a0><bd><ed><b3><81>","f0 9f 93 81","f0 9f 93 81"
"291","FIRE ","🔥","F0 9F 94 A5","<ed><a0><bd><ed><b4><a5>","f0 9f 94 a5","f0 9f 94 a5"
"292","FIRE ENGINE ","🚒","F0 9F 9A 92","<ed><a0><bd><ed><ba><92>","f0 9f 9a 92","f0 9f 9a 92"
"293","FIREWORK SPARKLER ","🎇","F0 9F 8E 87","<ed><a0><bc><ed><be><87>","f0 9f 8e 87","f0 9f 8e 87"
"294","FIREWORKS ","🎆","F0 9F 8E 86","<ed><a0><bc><ed><be><86>","f0 9f 8e 86","f0 9f 8e 86"
"295","FIRST QUARTER MOON SYMBOL ","🌓","F0 9F 8C 93","<ed><a0><bc><ed><bc><93>","f0 9f 8c 93","f0 9f 8c 93"
"296","FIRST QUARTER MOON WITH FACE ","🌛","F0 9F 8C 9B","<ed><a0><bc><ed><bc><9b>","f0 9f 8c 9b","f0 9f 8c 9b"
"297","FISH ","🐟","F0 9F 90 9F","<ed><a0><bd><ed><b0><9f>","f0 9f 90 9f","f0 9f 90 9f"
"298","FISH CAKE WITH SWIRL DESIGN ","🍥","F0 9F 8D A5","<ed><a0><bc><ed><bd><a5>","f0 9f 8d a5","f0 9f 8d a5"
"299","FISHING POLE AND FISH ","🎣","F0 9F 8E A3","<ed><a0><bc><ed><be><a3>","f0 9f 8e a3","f0 9f 8e a3"
"300","FISTED HAND SIGN ","👊","F0 9F 91 8A","<ed><a0><bd><ed><b1><8a>","f0 9f 91 8a","f0 9f 91 8a"
"301","FLAG IN HOLE ","⛳","E2 9B B3","<e2><9b><b3>","e2 9b b3","e2 9b b3"
"302","FLEXED BICEPS ","💪","F0 9F 92 AA","<ed><a0><bd><ed><b2><aa>","f0 9f 92 aa","f0 9f 92 aa"
"303","FLOPPY DISK ","💾","F0 9F 92 BE","<ed><a0><bd><ed><b2><be>","f0 9f 92 be","f0 9f 92 be"
"304","FLOWER PLAYING CARDS ","🎴","F0 9F 8E B4","<ed><a0><bc><ed><be><b4>","f0 9f 8e b4","f0 9f 8e b4"
"305","FLUSHED FACE ","😳","F0 9F 98 B3","<ed><a0><bd><ed><b8><b3>","f0 9f 98 b3","f0 9f 98 b3"
"306","FOGGY ","🌁","F0 9F 8C 81","<ed><a0><bc><ed><bc><81>","f0 9f 8c 81","f0 9f 8c 81"
"307","FOOTPRINTS ","👣","F0 9F 91 A3","<ed><a0><bd><ed><b1><a3>","f0 9f 91 a3","f0 9f 91 a3"
"308","FORK AND KNIFE ","🍴","F0 9F 8D B4","<ed><a0><bc><ed><bd><b4>","f0 9f 8d b4","f0 9f 8d b4"
"309","FOUNTAIN ","⛲","E2 9B B2","<e2><9b><b2>","e2 9b b2","e2 9b b2"
"310","FOUR LEAF CLOVER ","🍀","F0 9F 8D 80","<ed><a0><bc><ed><bd><80>","f0 9f 8d 80","f0 9f 8d 80"
"311","FRENCH FRIES ","🍟","F0 9F 8D 9F","<ed><a0><bc><ed><bd><9f>","f0 9f 8d 9f","f0 9f 8d 9f"
"312","FRIED SHRIMP ","🍤","F0 9F 8D A4","<ed><a0><bc><ed><bd><a4>","f0 9f 8d a4","f0 9f 8d a4"
"313","FROG FACE ","🐸","F0 9F 90 B8","<ed><a0><bd><ed><b0><b8>","f0 9f 90 b8","f0 9f 90 b8"
"314","FRONT-FACING BABY CHICK ","🐥","F0 9F 90 A5","<ed><a0><bd><ed><b0><a5>","f0 9f 90 a5","f0 9f 90 a5"
"315","FROWNING FACE WITH OPEN MOUTH ","😦","F0 9F 98 A6","<ed><a0><bd><ed><b8><a6>","f0 9f 98 a6","f0 9f 98 a6"
"316","FUEL PUMP ","⛽","E2 9B BD","<e2><9b><bd>","e2 9b bd","e2 9b bd"
"317","FULL MOON SYMBOL ","🌕","F0 9F 8C 95","<ed><a0><bc><ed><bc><95>","f0 9f 8c 95","f0 9f 8c 95"
"318","FULL MOON WITH FACE ","🌝","F0 9F 8C 9D","<ed><a0><bc><ed><bc><9d>","f0 9f 8c 9d","f0 9f 8c 9d"
"319","GAME DIE ","🎲","F0 9F 8E B2","<ed><a0><bc><ed><be><b2>","f0 9f 8e b2","f0 9f 8e b2"
"320","GEM STONE ","💎","F0 9F 92 8E","<ed><a0><bd><ed><b2><8e>","f0 9f 92 8e","f0 9f 92 8e"
"321","GEMINI ","♊","E2 99 8A","<e2><99><8a>","e2 99 8a","e2 99 8a"
"322","GHOST ","👻","F0 9F 91 BB","<ed><a0><bd><ed><b1><bb>","f0 9f 91 bb","f0 9f 91 bb"
"323","GIRL ","👧","F0 9F 91 A7","<ed><a0><bd><ed><b1><a7>","f0 9f 91 a7","f0 9f 91 a7"
"324","GLOBE WITH MERIDIANS ","🌐","F0 9F 8C 90","<ed><a0><bc><ed><bc><90>","f0 9f 8c 90","f0 9f 8c 90"
"325","GLOWING STAR ","🌟","F0 9F 8C 9F","<ed><a0><bc><ed><bc><9f>","f0 9f 8c 9f","f0 9f 8c 9f"
"326","GOAT ","🐐","F0 9F 90 90","<ed><a0><bd><ed><b0><90>","f0 9f 90 90","f0 9f 90 90"
"327","GRADUATION CAP ","🎓","F0 9F 8E 93","<ed><a0><bc><ed><be><93>","f0 9f 8e 93","f0 9f 8e 93"
"328","GRAPES ","🍇","F0 9F 8D 87","<ed><a0><bc><ed><bd><87>","f0 9f 8d 87","f0 9f 8d 87"
"329","GREEN APPLE ","🍏","F0 9F 8D 8F","<ed><a0><bc><ed><bd><8f>","f0 9f 8d 8f","f0 9f 8d 8f"
"330","GREEN BOOK ","📗","F0 9F 93 97","<ed><a0><bd><ed><b3><97>","f0 9f 93 97","f0 9f 93 97"
"331","GREEN HEART ","💚","F0 9F 92 9A","<ed><a0><bd><ed><b2><9a>","f0 9f 92 9a","f0 9f 92 9a"
"332","GRIMACING FACE ","😬","F0 9F 98 AC","<ed><a0><bd><ed><b8><ac>","f0 9f 98 ac","f0 9f 98 ac"
"333","GRINNING CAT FACE WITH SMILING EYES ","😸","F0 9F 98 B8","<ed><a0><bd><ed><b8><b8>","f0 9f 98 b8","f0 9f 98 b8"
"334","GRINNING FACE ","😀","F0 9F 98 80","<ed><a0><bd><ed><b8><80>","f0 9f 98 80","f0 9f 98 80"
"335","GRINNING FACE WITH SMILING EYES ","😁","F0 9F 98 81","<ed><a0><bd><ed><b8><81>","f0 9f 98 81","f0 9f 98 81"
"336","GROWING HEART ","💗","F0 9F 92 97","<ed><a0><bd><ed><b2><97>","f0 9f 92 97","f0 9f 92 97"
"337","GUARDSMAN ","💂","F0 9F 92 82","<ed><a0><bd><ed><b2><82>","f0 9f 92 82","f0 9f 92 82"
"338","GUITAR ","🎸","F0 9F 8E B8","<ed><a0><bc><ed><be><b8>","f0 9f 8e b8","f0 9f 8e b8"
"339","HAIRCUT ","💇","F0 9F 92 87","<ed><a0><bd><ed><b2><87>","f0 9f 92 87","f0 9f 92 87"
"340","HAMBURGER ","🍔","F0 9F 8D 94","<ed><a0><bc><ed><bd><94>","f0 9f 8d 94","f0 9f 8d 94"
"341","HAMMER ","🔨","F0 9F 94 A8","<ed><a0><bd><ed><b4><a8>","f0 9f 94 a8","f0 9f 94 a8"
"342","HAMSTER FACE ","🐹","F0 9F 90 B9","<ed><a0><bd><ed><b0><b9>","f0 9f 90 b9","f0 9f 90 b9"
"343","HANDBAG ","👜","F0 9F 91 9C","<ed><a0><bd><ed><b1><9c>","f0 9f 91 9c","f0 9f 91 9c"
"344","HAPPY PERSON RAISING ONE HAND ","🙋","F0 9F 99 8B","<ed><a0><bd><ed><b9><8b>","f0 9f 99 8b","f0 9f 99 8b"
"345","HATCHING CHICK ","🐣","F0 9F 90 A3","<ed><a0><bd><ed><b0><a3>","f0 9f 90 a3","f0 9f 90 a3"
"346","HEADPHONE ","🎧","F0 9F 8E A7","<ed><a0><bc><ed><be><a7>","f0 9f 8e a7","f0 9f 8e a7"
"347","HEAR-NO-EVIL MONKEY ","🙉","F0 9F 99 89","<ed><a0><bd><ed><b9><89>","f0 9f 99 89","f0 9f 99 89"
