"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"477","MOUTH ","👄","F0 9F 91 84","<ed><a0><bd><ed><b1><84>","f0 9f 91 84","f0 9f 91 84"
"478","MOVIE CAMERA ","🎥","F0 9F 8E A5","<ed><a0><bc><ed><be><a5>","f0 9f 8e a5","f0 9f 8e a5"
"479","MOYAI ","🗿","F0 9F 97 BF","<ed><a0><bd><ed><b7><bf>","f0 9f 97 bf","f0 9f 97 bf"
"480","MULTIPLE MUSICAL NOTES ","🎶","F0 9F 8E B6","<ed><a0><bc><ed><be><b6>","f0 9f 8e b6","f0 9f 8e b6"
"481","MUSHROOM ","🍄","F0 9F 8D 84","<ed><a0><bc><ed><bd><84>","f0 9f 8d 84","f0 9f 8d 84"
"482","MUSICAL KEYBOARD ","🎹","F0 9F 8E B9","<ed><a0><bc><ed><be><b9>","f0 9f 8e b9","f0 9f 8e b9"
"483","MUSICAL NOTE ","🎵","F0 9F 8E B5","<ed><a0><bc><ed><be><b5>","f0 9f 8e b5","f0 9f 8e b5"
"484","MUSICAL SCORE ","🎼","F0 9F 8E BC","<ed><a0><bc><ed><be><bc>","f0 9f 8e bc","f0 9f 8e bc"
"485","NAIL POLISH ","💅","F0 9F 92 85","<ed><a0><bd><ed><b2><85>","f0 9f 92 85","f0 9f 92 85"
"486","NAME BADGE ","📛","F0 9F 93 9B","<ed><a0><bd><ed><b3><9b>","f0 9f 93 9b","f0 9f 93 9b"
"487","NECKTIE ","👔","F0 9F 91 94","<ed><a0><bd><ed><b1><94>","f0 9f 91 94","f0 9f 91 94"
"488","NEGATIVE SQUARED AB ","🆎","F0 9F 86 8E","<ed><a0><bc><ed><b6><8e>","f0 9f 86 8e","f0 9f 86 8e"
"489","NEGATIVE SQUARED CROSS MARK ","❎","E2 9D 8E","<e2><9d><8e>","e2 9d 8e","e2 9d 8e"
"490","NEGATIVE SQUARED LATIN CAPITAL LETTER A ","🅰","F0 9F 85 B0","<ed><a0><bc><ed><b5><b0>","f0 9f 85 b0","f0 9f 85 b0"
"491","NEGATIVE SQUARED LATIN CAPITAL LETTER B ","🅱","F0 9F 85 B1","<ed><a0><bc><ed><b5><b1>","f0 9f 85 b1","f0 9f 85 b1"
"492","NEGATIVE SQUARED LATIN CAPITAL LETTER O ","🅾","F0 9F 85 BE","<ed><a0><bc><ed><b5><be>","f0 9f 85 be","f0 9f 85 be"
"493","NEGATIVE SQUARED LATIN CAPITAL LETTER P ","🅿","F0 9F 85 BF","<ed><a0><bc><ed><b5><bf>","f0 9f 85 bf","f0 9f 85 bf"
"494","NEUTRAL FACE ","😐","F0 9F 98 90","<ed><a0><bd><ed><b8><90>","f0 9f 98 90","f0 9f 98 90"
"495","NEW MOON SYMBOL ","🌑","F0 9F 8C 91","<ed><a0><bc><ed><bc><91>","f0 9f 8c 91","f0 9f 8c 91"
"496","NEW MOON WITH FACE ","🌚","F0 9F 8C 9A","<ed><a0><bc><ed><bc><9a>","f0 9f 8c 9a","f0 9f 8c 9a"
"497","NEWSPAPER ","📰","F0 9F 93 B0","<ed><a0><bd><ed><b3><b0>","f0 9f 93 b0","f0 9f 93 b0"
"498","NIGHT WITH STARS ","🌃","F0 9F 8C 83","<ed><a0><bc><ed><bc><83>","f0 9f 8c 83","f0 9f 8c 83"
"499","NO BICYCLES ","🚳","F0 9F 9A B3","<ed><a0><bd><ed><ba><b3>","f0 9f 9a b3","f0 9f 9a b3"
"500","NO ENTRY ","⛔","E2 9B 94","<e2><9b><94>","e2 9b 94","e2 9b 94"
"501","NO ENTRY SIGN ","🚫","F0 9F 9A AB","<ed><a0><bd><ed><ba><ab>","f0 9f 9a ab","f0 9f 9a ab"
"502","NO MOBILE PHONES ","📵","F0 9F 93 B5","<ed><a0><bd><ed><b3><b5>","f0 9f 93 b5","f0 9f 93 b5"
"503","NO ONE UNDER EIGHTEEN SYMBOL ","🔞","F0 9F 94 9E","<ed><a0><bd><ed><b4><9e>","f0 9f 94 9e","f0 9f 94 9e"
"504","NO PEDESTRIANS ","🚷","F0 9F 9A B7","<ed><a0><bd><ed><ba><b7>","f0 9f 9a b7","f0 9f 9a b7"
"505","NO SMOKING SYMBOL ","🚭","F0 9F 9A AD","<ed><a0><bd><ed><ba><ad>","f0 9f 9a ad","f0 9f 9a ad"
"506","NON-POTABLE WATER SYMBOL ","🚱","F0 9F 9A B1","<ed><a0><bd><ed><ba><b1>","f0 9f 9a b1","f0 9f 9a b1"
"507","NORTH EAST ARROW ","↗","E2 86 97","<e2><86><97>","e2 86 97","e2 86 97"
"508","NORTH WEST ARROW ","↖","E2 86 96","<e2><86><96>","e2 86 96","e2 86 96"
"509","NOSE ","👃","F0 9F 91 83","<ed><a0><bd><ed><b1><83>","f0 9f 91 83","f0 9f 91 83"
"510","NOTEBOOK ","📓","F0 9F 93 93","<ed><a0><bd><ed><b3><93>","f0 9f 93 93","f0 9f 93 93"
"511","NOTEBOOK WITH DECORATIVE COVER ","📔","F0 9F 93 94","<ed><a0><bd><ed><b3><94>","f0 9f 93 94","f0 9f 93 94"
"512","NUMBER SIGN + COMBINING ENCLOSING KEYCAP ","#⃣","23 E2 83 A3","#<e2><83><a3>","23 e2 83 a3","23 e2 83 a3"
"513","NUT AND BOLT ","🔩","F0 9F 94 A9","<ed><a0><bd><ed><b4><a9>","f0 9f 94 a9","f0 9f 94 a9"
"514","OCTOPUS ","🐙","F0 9F 90 99","<ed><a0><bd><ed><b0><99>","f0 9f 90 99","f0 9f 90 99"
"515","ODEN ","🍢","F0 9F 8D A2","<ed><a0><bc><ed><bd><a2>","f0 9f 8d a2","f0 9f 8d a2"
"516","OFFICE BUILDING ","🏢","F0 9F 8F A2","<ed><a0><bc><ed><bf><a2>","f0 9f 8f a2","f0 9f 8f a2"
"517","OK HAND SIGN ","👌","F0 9F 91 8C","<ed><a0><bd><ed><b1><8c>","f0 9f 91 8c","f0 9f 91 8c"
"518","OLDER MAN ","👴","F0 9F 91 B4","<ed><a0><bd><ed><b1><b4>","f0 9f 91 b4","f0 9f 91 b4"
"519","OLDER WOMAN ","👵","F0 9F 91 B5","<ed><a0><bd><ed><b1><b5>","f0 9f 91 b5","f0 9f 91 b5"
"520","ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE ","🔛","F0 9F 94 9B","<ed><a0><bd><ed><b4><9b>","f0 9f 94 9b","f0 9f 94 9b"
"521","ONCOMING AUTOMOBILE ","🚘","F0 9F 9A 98","<ed><a0><bd><ed><ba><98>","f0 9f 9a 98","f0 9f 9a 98"
"522","ONCOMING BUS ","🚍","F0 9F 9A 8D","<ed><a0><bd><ed><ba><8d>","f0 9f 9a 8d","f0 9f 9a 8d"
"523","ONCOMING POLICE CAR ","🚔","F0 9F 9A 94","<ed><a0><bd><ed><ba><94>","f0 9f 9a 94","f0 9f 9a 94"
"524","ONCOMING TAXI ","🚖","F0 9F 9A 96","<ed><a0><bd><ed><ba><96>","f0 9f 9a 96","f0 9f 9a 96"
"525","OPEN BOOK ","📖","F0 9F 93 96","<ed><a0><bd><ed><b3><96>","f0 9f 93 96","f0 9f 93 96"
"526","OPEN FILE FOLDER ","📂","F0 9F 93 82","<ed><a0><bd><ed><b3><82>","f0 9f 93 82","f0 9f 93 82"
"527","OPEN HANDS SIGN ","👐","F0 9F 91 90","<ed><a0><bd><ed><b1><90>","f0 9f 91 90","f0 9f 91 90"
"528","OPEN LOCK ","🔓","F0 9F 94 93","<ed><a0><bd><ed><b4><93>","f0 9f 94 93","f0 9f 94 93"
"529","OPEN MAILBOX WITH LOWERED FLAG ","📭","F0 9F 93 AD","<ed><a0><bd><ed><b3><ad>","f0 9f 93 ad","f0 9f 93 ad"
"530","OPEN MAILBOX WITH RAISED FLAG ","📬","F0 9F 93 AC","<ed><a0><bd><ed><b3><ac>","f0 9f 93 ac","f0 9f 93 ac"
"531","OPHIUCHUS ","⛎","E2 9B 8E","<e2><9b><8e>","e2 9b 8e","e2 9b 8e"
